Date,Apple,Delta,Exxon,GE,Honda,USSteel,Verizon,Walmart,CEA,Infosys,SP500ETF
2013/1/1,46.4,12.76,73.57,5.32,32.25,21.13,33.2,60.29,21.58,3.45,133.67
2013/2/1,44.96,13.11,73.22,5.82,32.04,19.7,35.84,61.01,20.32,3.53,135.37
2013/3/1,47,15.17,74.15,12.75,32.74,18.47,37.86,64.5,20.85,3.53,139.89
2013/4/1,47.01,15.75,73.23,7.04,34.38,16.86,41.52,67.42,19.77,2.73,143.21
2013/5/1,47.75,16.55,74.45,7.09,32.31,16.76,37.73,64.92,16.11,2.73,146.6
2013/6/1,44.13,17.19,74.86,6.68,32.03,16.65,39.18,65.01,14.8,2.98,143.88
2013/7/1,50.36,19.5,77.68,6.52,32.12,16.48,38.51,68.02,14.85,3.59,152.11
2013/8/1,54.22,18.13,72.22,4.84,31.09,17,37.25,63.69,14.53,3.35,147.55
2013/9/1,55.61,21.73,71.78,4.36,33.42,19.61,36.69,64.94,15.79,3.48,151.48
2013/10/1,60.97,24.31,74.77,4.26,35.19,23.71,39.71,67.38,16.27,3.83,159.27
2013/11/1,64.86,26.7,77.99,5.14,37.31,25.53,39.46,71.13,19.24,4.1,163.99
2013/12/1,68.21,25.37,85.01,4.81,36.42,28.15,39.07,69.09,18.51,4.29,167.33
2014/1/1,60.86,28.27,77.41,4.57,33.19,24.91,38.18,65.95,16.05,4.44,162.31
2014/2/1,63.98,30.67,80.87,4.81,31.9,23.11,38.24,65.97,17.34,4.68,169.7
2014/3/1,68.1,32.06,82.63,5.27,31.27,26.4,38.24,67.49,15.97,4.11,170.36
2014/4/1,74.86,34.08,86.63,5.16,29.65,24.88,37.56,70.85,14.81,4.07,172.3
2014/5/1,80.31,36.93,85.04,6.61,31.33,22.03,40.6,68.23,14.62,3.9,176.3
2014/6/1,85.87,35.88,85.75,6.29,31.16,24.95,39.77,67.13,14.7,4.08,179.08
2014/7/1,88.33,34.71,84.27,5.95,31.25,32.08,40.98,65.8,14.98,4.63,177.52
2014/8/1,94.71,36.68,84.71,7.41,30.51,37.03,40.93,67.52,15.61,5.02,184.52
2014/9/1,93.56,33.58,80.66,6.6,30.71,37.58,41.07,68.84,15.45,5.1,181.13
2014/10/1,100.29,37.37,82.94,6.93,28.93,38.41,41.28,68.66,18.05,5.64,186.26
2014/11/1,110.44,43.36,77.65,6.98,27.31,31.99,42.02,78.8,23.9,6.68,191.38
2014/12/1,102.94,45.8,79.86,8.57,26.59,25.72,38.86,77.31,23.32,6.02,189.85
2015/1/1,109.27,44.04,75.51,8.3,27.39,23.51,37.97,76.92,25.4,6.52,185.24
2015/2/1,119.8,41.45,76.48,7.11,30.03,23.04,41.56,75.97,23.14,7.03,195.65
2015/3/1,116.5,41.94,73.98,7.12,29.69,23.52,40.87,74.45,30.73,6.71,191.72
2015/4/1,117.18,41.64,76.04,6.91,30.55,23.16,42.4,71.08,37.26,5.93,194.47
2015/5/1,121.98,40.04,74.15,6.38,31.17,23.52,42.02,67.63,36.34,6.1,196.97
2015/6/1,117.93,38.4,73.01,6.6,29.52,19.92,39.62,65,39.92,6.07,192.07
2015/7/1,114.05,41.45,69.51,6.11,30.94,18.81,39.77,65.96,38.92,6.88,197.28
2015/8/1,106.17,40.92,66.02,7.26,28.84,15.82,39.57,59.32,24.87,6.97,186.7
2015/9/1,104.18,42.07,65.85,6.13,27.4,10.09,37.42,59.82,28.78,14.17,179.6
2015/10/1,112.86,47.66,73.28,4.96,30.53,11.31,40.32,52.81,30.94,7.38,196.84
2015/11/1,111.73,43.56,72.33,4.88,30.12,7.81,39.6,54.29,25.97,6.9,196.65
2015/12/1,99.84,47.65,69.64,3.47,29.43,7.76,40.27,56.56,27.07,6.93,192.11
2016/1/1,92.33,41.63,69.55,1.8,25.05,6.81,43.53,61.74,23.23,7.41,183.63
2016/2/1,91.71,45.35,71.61,1.78,23.84,8.87,44.74,61.72,22.68,6.96,183.48
2016/3/1,103.94,45.9,75.36,2.32,25.35,15.72,47.69,63.72,25.65,7.87,194.81
2016/4/1,89.4,39.29,79.7,2.52,25.19,18.71,44.92,62.68,25.4,7.78,196.59
2016/5/1,95.23,40.98,80.26,1.89,26.15,14.17,45.36,66.34,25.87,8.05,199.93
2016/6/1,91.72,34.46,85.22,1.77,23.67,16.55,49.77,68.94,24.38,7.39,199.59
2016/7/1,99.99,36.66,80.87,2.06,25.79,26.99,49.38,68.89,27.02,6.95,207.95
2016/8/1,101.8,34.77,79.22,2.41,29.3,19.09,47.11,67.45,24.95,6.71,208.2
2016/9/1,109.06,37.44,80.02,2.67,27.51,18.55,46.79,68.56,22.29,6.67,207.16
2016/10/1,109.53,39.73,76.39,2.62,28.56,19.03,43.3,66.56,21.75,6.45,204.6
2016/11/1,106.61,45.83,80.04,3.6,28.48,31.82,45.43,66.95,23.45,6.25,212.14
2016/12/1,112.3,47,83.49,4.25,27.95,35.56,48.6,65.7,21.85,6.4,215.17
2017/1/1,117.66,45.14,77.6,4.11,28.66,32.26,44.62,63.9,24.59,5.95,220.31
2017/2/1,132.83,47.71,75.22,3.22,29.87,38.18,45.67,67.91,27.01,6.54,228.97
2017/3/1,139.9,44.09,76.55,2.64,29.18,33.39,44.86,69.01,27.96,6.82,228.26
2017/4/1,139.89,43.59,76.22,2.42,28.06,22.04,42.25,72.51,25.57,6.29,231.53
2017/5/1,148.76,47.13,75.14,1.7,26.93,20.59,43.43,75.8,28.7,6.52,234.8
2017/6/1,140.83,51.77,76.07,1.74,26.41,21.92,41.59,73.48,29.92,6.69,235.15
2017/7/1,145.43,47.55,75.42,1.44,27.24,23.25,45.07,77.66,27.36,7.03,241.15
2017/8/1,160.37,45.46,71.92,1.04,27.31,26.34,45.25,75.8,27.19,6.68,241.85
2017/9/1,151.3,46.75,78,1.16,28.73,25.46,46.69,76.34,24.19,6.5,245.51
2017/10/1,165.94,48.51,79.3,0.98,30.65,25.12,45.16,85.3,25.22,6.61,252.54
2017/11/1,168.7,51.31,79.24,0.69,32.87,28.69,48.58,94.99,29.2,7.12,260.26
2017/12/1,166.73,54.63,80.31,0.76,33.6,34.97,50.53,96.48,35.77,7.63,262.08
